rank, p, n, total, time/gen, comm/gen, comp/gen, display/gen, comm/display, sendrecv/gen, barrier/gen
13, 16, 128, 1119.779000, 11.197790, 11.146080, 0.051710, 0.000150, 0.006500, 0.026780, 11.119300
6, 16, 128, 1136.986000, 11.369860, 11.260980, 0.108880, 0.000340, 0.017000, 0.279540, 10.981440
14, 16, 128, 1117.402000, 11.174020, 11.121420, 0.052600, 0.000140, 0.007000, 0.025210, 11.096210
5, 16, 128, 1139.304000, 11.393040, 11.290850, 0.102190, 0.000320, 0.016000, 0.032760, 11.258090
12, 16, 128, 1122.353000, 11.223530, 11.168470, 0.055060, 0.000110, 0.005000, 5.400610, 5.767860
0, 16, 256, 107.288000, 1.072880, 0.841150, 0.231730, 1.463260, 5.257000, 0.355650, 0.485500
1, 16, 256, 276.561000, 2.765610, 2.545770, 0.219840, 0.000100, 0.005000, 1.696420, 0.849350
3, 16, 256, 276.560000, 2.765600, 2.551670, 0.213930, 0.000100, 0.005000, 0.278420, 2.273250
8, 16, 256, 269.424000, 2.694240, 2.288430, 0.405810, 0.000340, 0.016500, 0.579070, 1.709360
2, 16, 256, 276.561000, 2.765610, 2.549730, 0.215880, 0.000090, 0.004500, 0.036000, 2.513730
5, 16, 256, 273.968000, 2.739680, 2.335860, 0.403820, 0.000510, 0.025000, 0.146850, 2.189010
11, 16, 256, 262.580000, 2.625800, 2.159470, 0.466330, 0.000320, 0.015500, 0.284590, 1.874880
12, 16, 256, 260.403000, 2.604030, 2.383670, 0.220360, 0.000220, 0.010500, 0.378880, 2.004790
4, 16, 256, 276.440000, 2.764400, 2.364660, 0.399740, 0.000300, 0.014500, 0.435410, 1.929250
7, 16, 256, 269.492000, 2.694920, 2.297700, 0.397220, 0.000270, 0.013000, 0.166080, 2.131620
10, 16, 256, 264.809000, 2.648090, 2.211430, 0.436660, 0.000270, 0.013500, 0.024530, 2.186900
15, 16, 256, 253.525000, 2.535250, 2.312610, 0.222640, 0.000200, 0.010000, 1.614330, 0.698280
13, 16, 256, 258.130000, 2.581300, 2.366560, 0.214740, 0.000160, 0.008000, 0.026230, 2.340330
6, 16, 256, 271.718000, 2.717180, 2.278370, 0.438810, 0.000330, 0.016000, 0.212580, 2.065790
14, 16, 256, 255.858000, 2.558580, 2.346750, 0.211830, 0.000160, 0.008000, 0.024580, 2.322170
9, 16, 256, 267.074000, 2.670740, 2.282270, 0.388470, 0.000260, 0.012500, 0.028220, 2.254050
1, 16, 512, 789.122000, 7.891220, 7.011320, 0.879900, 0.000160, 0.008000, 5.833260, 1.178060
3, 16, 512, 789.135000, 7.891350, 7.038390, 0.852960, 0.000170, 0.008000, 0.432400, 6.605990
4, 16, 512, 788.734000, 7.887340, 6.270940, 1.616400, 0.000550, 0.027500, 0.591950, 5.678990
10, 16, 512, 776.658000, 7.766580, 6.117020, 1.649560, 0.000520, 0.025000, 0.027730, 6.089290
7, 16, 512, 781.707000, 7.817070, 6.207000, 1.610070, 0.000600, 0.030000, 0.263610, 5.943390
8, 16, 512, 781.705000, 7.817050, 6.230860, 1.586190, 0.000530, 0.026500, 0.610190, 5.620670
0, 16, 512, 206.138000, 2.061380, 1.193740, 0.867640, 5.592020, 17.455500, 0.412090, 0.781650
2, 16, 512, 789.134000, 7.891340, 7.058030, 0.833310, 0.000170, 0.008500, 0.001670, 7.056360
5, 16, 512, 786.164000, 7.861640, 6.264430, 1.597210, 0.001000, 0.050000, 0.030830, 6.233600
12, 16, 512, 772.292000, 7.722920, 6.871180, 0.851740, 0.000420, 0.020500, 0.530270, 6.340910
11, 16, 512, 774.153000, 7.741530, 6.154380, 1.587150, 0.001040, 0.052000, 0.415060, 5.739320
13, 16, 512, 769.682000, 7.696820, 6.843490, 0.853330, 0.000520, 0.026000, 0.025870, 6.817620
6, 16, 512, 783.857000, 7.838570, 6.169240, 1.669330, 0.000600, 0.030000, 0.025730, 6.143510
14, 16, 512, 767.443000, 7.674430, 6.811680, 0.862750, 0.000300, 0.015000, 0.023910, 6.787770
9, 16, 512, 778.918000, 7.789180, 6.192550, 1.596630, 0.000570, 0.028500, 0.028150, 6.164400
15, 16, 512, 765.203000, 7.652030, 6.809780, 0.842250, 0.000590, 0.029500, 5.755270, 1.054510
1, 16, 1024, 16435.044000, 164.350440, 159.951730, 4.398710, 0.005480, 0.274000, 156.873170, 3.078560
3, 16, 1024, 16435.020000, 164.350200, 160.031230, 4.318970, 0.006000, 0.299500, 0.593590, 159.437640
7, 16, 1024, 16427.523000, 164.275230, 157.588160, 6.687070, 0.001770, 0.088500, 0.409770, 157.178390
8, 16, 1024, 16426.914000, 164.269140, 157.875420, 6.393720, 0.002230, 0.111000, 0.789600, 157.085820
